w57,w58,w59,w60,g1,g2,h
282,0,739,133,529,190,685
286,509,886,898,199,470,271
287,504,406,1003,192,430,238
289,29,46,54,847,389,566
291,586,212,879,841,617,800
291,660,852,749,237,382,145
292,801,1019,897,716,538,846
292,872,315,983,360,610,250
293,0,536,1023,395,824,429
293,665,932,943,574,767,193
295,347,212,89,753,348,619
295,698,553,466,694,454,784
298,85,554,441,844,402,582
298,214,121,907,344,297,977
299,450,198,943,234,336,102
300,590,678,440,466,103,661
300,1008,814,375,405,84,703
301,774,852,915,75,641,566
303,995,255,417,241,498,257
303,1005,886,924,523,404,905
304,269,96,830,877,515,662
304,927,553,328,99,310,211
305,556,474,344,968,142,198
305,933,96,44,801,78,301
306,406,367,295,795,12,241
306,492,554,762,273,663,390
307,988,13,493,335,900,565
105,357,681,253,951,700,773
107,694,297,290,197,702,505
107,763,23,602,851,831,1004
108,170,376,414,824,885,61
108,695,53,288,211,904,693
110,716,559,249,385,431,46
111,215,223,728,213,776,563
112,636,376,410,785,199,438
113,971,303,209,165,868,703
114,443,315,492,652,927,275
115,404,388,154,558,878,320
117,849,357,901,452,490,38
118,1001,954,48,479,163,708
119,328,376,166,140,586,446
119,853,792,153,664,502,862
119,933,315,818,551,736,185
120,473,301,470,224,957,733
120,883,390,343,443,454,11
120,883,390,351,451,462,11
121,1021,914,706,47,215,168
122,241,939,291,389,549,160
122,241,939,355,453,613,160
123,859,376,166,902,996,94
123,1022,138,575,892,180,312
124,246,230,583,537,603,66
124,294,969,330,77,0,947
124,401,843,28,672,1008,336
125,640,230,234,552,658,106
126,994,792,979,851,929,78
129,150,230,234,706,332,650
130,56,230,1007,245,177,956
130,804,369,811,518,537,19
130,866,70,754,612,797,185
131,841,537,805,739,541,826
132,337,969,330,961,427,490
133,263,144,820,4,390,386
133,535,817,755,181,519,338
137,427,716,253,667,1019,352
139,267,53,1016,903,437,558
142,500,905,265,159,330,171
142,605,230,1007,859,851,1016
146,114,230,1007,15,140,125
147,68,843,83,276,192,940
147,942,969,588,146,976,830
150,193,914,46,397,111,738
150,316,935,314,604,755,151
151,271,954,554,633,335,726
151,450,53,304,619,90,495
152,77,935,71,89,228,139
152,246,914,839,793,151,382
152,261,716,493,669,989,320
152,885,553,899,903,690,811
153,169,396,990,456,154,722
154,590,89,631,657,561,928
154,724,914,46,563,453,914
154,903,390,463,617,861,244
155,694,746,217,124,780,656
158,363,47,239,648,258,634
158,651,236,467,448,279,855
158,862,914,313,105,38,957
159,823,913,704,617,613,1020
159,963,681,408,747,309,586
160,420,249,733,362,849,487
161,997,53,966,694,161,491
162,524,14,761,876,277,425
162,935,510,415,52,285,233
163,307,534,607,624,437,837
165,334,656,580,714,1013,299
165,673,367,651,412,422,10
165,766,914,44,341,999,658
167,512,53,76,384,600,216
167,788,914,317,787,560,797
168,601,716,712,372,366,1018
171,213,716,52,465,123,682
171,551,89,83,786,966,180
173,248,706,661,902,791,913
174,928,914,313,94,354,260
174,1009,627,999,21,145,124
175,1021,681,408,773,302,553
178,645,914,350,556,381,849
179,762,72,683,916,486,594
185,805,852,35,814,197,407
187,904,177,685,598,520,946
188,159,714,761,640,508,892
189,70,363,382,607,771,164
189,668,914,805,676,162,510
190,599,600,293,752,181,453
191,306,145,358,423,771,348
192,1010,604,767,893,626,757
199,223,13,944,814,768,978
199,823,935,931,844,648,828
200,623,743,274,855,413,582
202,458,795,588,520,613,93
203,581,652,1008,217,399,182
204,424,773,56,518,278,784
205,428,930,860,362,765,403
617,482,813,1018,818,529,735
619,322,886,376,701,69,392
621,16,230,380,6,482,476
621,828,792,582,928,194,290
622,353,53,1003,869,625,780
623,71,230,485,726,993,267
623,71,230,486,727,994,267
623,350,376,169,49,550,501
625,848,842,415,942,841,923
626,459,402,188,104,1021,917
626,677,393,269,990,388,422
627,666,534,505,216,325,109
627,866,681,933,791,569,802
628,740,53,147,927,539,636
630,314,400,923,93,507,414
631,190,470,367,715,270,579
631,936,388,156,578,1013,435
632,936,315,199,621,610,1013
633,33,47,193,24,372,348
635,966,886,636,831,842,11
637,127,315,166,533,268,759
637,304,369,985,58,985,927
639,804,813,358,65,713,648
640,6,534,391,627,985,358
640,63,249,198,572,220,672
641,596,474,166,673,17,368
645,837,144,417,670,155,509
646,838,388,993,142,150,8
647,667,914,407,134,445,311
648,691,969,43,158,924,766
650,657,310,359,887,364,501
650,765,716,555,900,458,582
650,860,47,751,575,2,451
651,549,814,735,446,960,514
651,726,922,422,843,152,333
651,726,922,674,71,404,333
652,519,935,797,993,333,364
652,563,53,362,487,711,224
652,784,716,7,541,354,837
653,3,969,745,37,545,508
653,536,138,377,42,880,838
655,278,388,407,917,109,216
657,386,393,107,413,210,821
658,534,935,485,887,85,222
661,834,813,837,178,279,101
661,919,393,107,519,37,542
663,714,935,564,540,332,816
663,885,914,407,411,558,147
664,326,331,491,752,68,340
664,329,773,665,655,17,386
667,85,716,972,351,687,336
667,738,922,807,659,686,27
668,173,534,1015,545,219,698
668,352,53,853,703,965,262
670,189,773,991,267,1018,751
670,914,905,87,739,104,389
673,829,315,148,542,454,936
674,722,773,991,580,448,892
675,305,969,94,207,929,722
675,571,773,880,110,479,369
675,677,913,747,444,190,770
675,695,773,28,975,847,896
676,70,935,820,21,12,1015
676,125,563,749,1020,945,949
680,879,331,1014,535,706,171
680,915,805,644,224,99,899
683,725,53,349,818,300,506
684,345,627,262,1022,283,285
684,465,935,657,282,991,709
685,822,315,862,791,647,880
685,917,681,490,998,509,535
687,958,313,530,858,652,818
687,1000,388,850,241,582,341
688,829,814,314,708,237,553
689,77,480,893,911,98,211
690,977,559,192,753,716,987
692,554,388,639,79,636,557
692,613,388,23,765,595,854
694,551,681,208,911,589,702
694,893,905,460,847,488,665
694,952,151,303,471,325,878
695,907,70,109,70,330,260
697,621,681,743,332,818,486
697,797,442,20,921,676,779
698,26,681,204,885,1007,122
699,13,38,58,85,29,968
699,842,177,685,667,551,908
700,6,230,422,658,825,167
700,262,455,406,662,477,839
700,849,138,611,162,62,924
701,213,822,1003,392,323,955
701,478,914,367,233,755,522
701,540,914,360,217,160,967
701,773,795,935,175,840,665
701,952,178,892,36,88,52
702,995,136,803,627,847,220
703,240,145,358,472,700,228
703,910,662,481,554,1001,447
704,117,313,52,964,468,528
705,141,321,185,222,713,491
707,263,662,824,8,652,644
707,718,470,913,953,149,220
709,549,305,90,825,856,31
710,103,788,87,837,235,422
711,127,388,44,411,572,161
712,296,813,411,895,541,670
712,391,935,57,283,314,31
714,520,795,588,511,175,688
714,784,64,276,810,638,852
714,967,407,514,661,183,546
716,960,230,422,713,38,349
514,460,84,719,747,143,420
515,616,792,924,337,389,52
516,590,961,585,611,396,809
517,236,89,804,343,101,782
518,390,627,686,928,93,189
527,441,230,695,951,63,136
528,1013,53,928,910,283,397
531,536,13,530,195,544,349
535,64,534,37,422,946,524
536,320,662,391,748,298,574
536,382,914,821,192,4,836
538,665,235,964,595,631,36
541,222,230,841,663,870,207
543,863,138,914,690,926,236
545,65,914,700,13,752,739
546,612,656,543,277,305,28
548,70,390,629,854,686,856
550,10,462,507,422,773,351
552,542,774,43,828,443,639
553,372,297,712,628,897,269
554,14,886,703,810,462,676
554,485,230,514,202,679,477
556,12,396,740,815,100,309
562,64,138,879,240,176,960
562,121,53,890,73,87,14
562,196,953,136,311,513,202
562,236,939,978,517,286,793
562,456,301,262,226,707,481
563,540,230,432,289,385,96
571,58,89,196,362,886,524
571,730,914,993,711,577,890
571,730,914,1001,719,585,890
572,227,914,650,462,937,475
574,276,178,931,321,868,547
574,660,89,291,803,637,858
576,145,455,918,510,867,357
577,544,393,476,267,841,574
577,649,886,795,680,266,610
577,859,534,66,802,976,174
578,169,89,291,781,211,454
578,526,939,993,1012,341,353
579,270,177,7,134,505,371
579,544,388,183,998,153,179
580,593,577,705,236,162,950
581,1019,788,275,480,279,823
582,145,1012,630,222,537,315
582,146,559,358,894,65,195
584,5,168,51,207,384,177
584,5,766,529,685,101,440
584,559,13,307,883,741,882
587,276,230,520,934,161,251
587,690,696,31,130,723,593
587,986,53,469,215,520,305
588,249,886,303,528,340,836
593,486,393,476,212,728,516
593,847,895,147,177,641,464
594,567,662,830,763,622,883
594,736,455,422,242,857,615
594,866,321,788,646,755,109
595,326,914,659,920,470,574
596,32,223,103,1006,404,422
596,142,935,301,386,651,265
596,828,313,313,659,556,921
596,828,313,433,779,676,921
596,848,534,120,647,354,731
597,997,656,1009,737,487,774
598,691,89,953,44,647,603
599,443,376,577,737,302,589
599,1000,949,283,698,991,293
601,534,315,120,522,524,2
602,987,939,464,162,758,596
604,248,313,891,108,884,776
606,347,138,916,556,753,197
607,137,230,486,459,442,1007
607,706,230,700,35,72,37
609,59,774,869,27,661,634
610,923,115,971,678,452,798
612,614,89,669,307,731,424
613,440,905,292,500,701,201
615,372,223,434,350,718,368
411,977,153,729,266,903,637
718,619,50,835,328,605,277
720,491,315,879,278,793,515
721,343,889,861,308,999,691
722,674,310,483,324,231,931
722,674,310,684,525,432,931
723,979,743,49,642,572,954
724,451,138,265,564,43,503
725,370,1012,934,1010,75,89
726,227,223,21,857,140,307
726,741,679,442,150,444,294
727,546,168,631,454,244,814
727,582,935,797,950,474,548
730,378,13,670,873,555,706
731,890,935,896,115,871,756
732,148,388,546,986,957,995
732,210,138,393,918,567,673
733,237,795,712,235,399,164
734,135,178,972,210,396,186
734,252,766,984,265,123,882
734,979,310,379,972,728,780
737,992,905,569,345,795,450
738,92,734,847,659,48,413
738,628,619,378,370,364,1018
739,177,963,48,155,322,167
739,923,13,32,763,581,842
742,622,192,162,695,622,951
745,202,354,487,375,449,74
746,66,681,521,810,435,649
746,471,734,183,672,942,270
746,531,500,419,37,804,767
749,167,795,665,418,520,102
749,167,795,921,674,776,102
750,226,795,729,493,302,833
752,330,894,732,674,872,198
755,437,914,326,261,606,345
755,437,914,581,516,861,345
755,803,400,635,486,159,697
756,271,351,709,788,511,747
756,417,315,731,600,410,834
758,840,107,930,816,368,576
759,722,935,798,387,861,474
763,603,813,710,466,928,462
763,960,55,282,573,477,928
765,159,656,928,807,621,838
766,195,305,687,1006,127,145
768,775,53,7,175,134,983
770,888,966,301,448,485,37
771,855,342,350,765,360,619
771,855,342,398,813,408,619
771,986,121,644,390,113,747
772,49,55,1020,81,932,851
773,514,72,487,827,178,375
776,431,303,535,117,397,280
777,203,724,459,395,945,550
778,355,905,745,515,709,194
779,618,178,833,278,604,326
781,395,376,880,785,536,775
781,499,739,252,290,698,408
782,906,230,232,241,422,181
785,192,656,438,805,867,62
785,400,489,176,772,1000,228
785,526,315,109,128,366,238
786,157,739,365,148,134,1010
786,381,230,228,543,619,76
787,947,342,709,796,227,455
789,691,656,469,584,655,71
792,246,121,455,409,85,700
795,68,1012,705,898,74,200
795,446,342,642,1010,235,249
796,825,153,566,768,102,358
798,37,554,75,738,942,204
798,718,563,67,107,85,1002
799,667,852,243,994,958,988
800,724,138,706,199,611,412
801,157,432,433,216,887,671
801,347,351,125,789,316,551
803,52,247,738,679,873,194
807,282,739,154,855,369,538
809,68,13,159,352,538,186
809,126,536,700,27,753,726
811,1000,745,430,845,541,720
813,519,151,233,429,786,357
813,771,151,609,969,634,689
813,771,151,610,970,635,689
814,584,739,838,768,80,336
819,288,303,626,469,109,664
