Candidate: M[0]=0x34c
Cascade-Optimized DP at N=10
Search space: 2^40 = 1099511627776

  W1[57]=371: 1 local colls, 24 total [2900s]
  W1[57]=373: 2 local colls, 29 total [2907s]
  W1[57]=374: 3 local colls, 28 total [2907s]
  W1[57]=376: 1 local colls, 27 total [2908s]
  W1[57]=375: 0 local colls, 21 total [2909s]
  W1[57]=372: 2 local colls, 19 total [2913s]
  W1[57]=378: 2 local colls, 21 total [2914s]
  W1[57]=377: 1 local colls, 17 total [2923s]
  W1[57]=379: 0 local colls, 19 total [2931s]
  W1[57]=380: 0 local colls, 26 total [2932s]
  W1[57]=383: 2 local colls, 34 total [2939s]
  W1[57]=385: 0 local colls, 20 total [2939s]
  W1[57]=381: 1 local colls, 21 total [2940s]
  W1[57]=384: 1 local colls, 22 total [2940s]
  W1[57]=382: 0 local colls, 19 total [2941s]
  W1[57]=386: 0 local colls, 26 total [2961s]
  W1[57]=389: 0 local colls, 28 total [2966s]
  W1[57]=390: 2 local colls, 29 total [2969s]
  W1[57]=391: 3 local colls, 24 total [2977s]
  W1[57]=388: 0 local colls, 29 total [2981s]
  W1[57]=387: 0 local colls, 24 total [2981s]
  W1[57]=392: 1 local colls, 20 total [2983s]
  W1[57]=393: 3 local colls, 24 total [2984s]
  W1[57]=394: 2 local colls, 19 total [2992s]
  W1[57]=395: 0 local colls, 19 total [3000s]
  W1[57]=398: 0 local colls, 20 total [3000s]
  W1[57]=396: 2 local colls, 28 total [3001s]
  W1[57]=397: 1 local colls, 35 total [3008s]
  W1[57]=401: 0 local colls, 19 total [3013s]
  W1[57]=399: 0 local colls, 21 total [3013s]
  W1[57]=400: 2 local colls, 24 total [3015s]
  W1[57]=402: 1 local colls, 27 total [3023s]
  W1[57]=404: 0 local colls, 29 total [3034s]
  W1[57]=406: 2 local colls, 31 total [3040s]
  W1[57]=403: 1 local colls, 29 total [3043s]
  W1[57]=407: 0 local colls, 24 total [3044s]
  W1[57]=412: 1 local colls, 21 total [3045s]
  W1[57]=408: 0 local colls, 20 total [3053s]
  W1[57]=405: 1 local colls, 25 total [3056s]
  W1[57]=409: 1 local colls, 25 total [3058s]
  W1[57]=417: 0 local colls, 24 total [3066s]
  W1[57]=410: 0 local colls, 19 total [3068s]
  W1[57]=411: 1 local colls, 20 total [3071s]
  W1[57]=413: 0 local colls, 28 total [3076s]
  W1[57]=414: 1 local colls, 36 total [3077s]
  W1[57]=415: 3 local colls, 22 total [3079s]
  W1[57]=416: 1 local colls, 22 total [3085s]
  W1[57]=419: 4 local colls, 33 total [3088s]
  W1[57]=418: 1 local colls, 28 total [3093s]
  W1[57]=421: 1 local colls, 30 total [3109s]
  W1[57]=423: 1 local colls, 22 total [3111s]
  W1[57]=420: 0 local colls, 31 total [3111s]
  W1[57]=422: 0 local colls, 24 total [3113s]
  W1[57]=424: 0 local colls, 20 total [3115s]
  W1[57]=425: 3 local colls, 28 total [3123s]
  W1[57]=427: 0 local colls, 24 total [3128s]
  W1[57]=426: 0 local colls, 25 total [3132s]
  W1[57]=428: 1 local colls, 20 total [3141s]
  W1[57]=429: 0 local colls, 20 total [3141s]
  W1[57]=430: 0 local colls, 28 total [3144s]
  W1[57]=431: 1 local colls, 37 total [3148s]
  W1[57]=435: 0 local colls, 28 total [3148s]
  W1[57]=434: 1 local colls, 34 total [3154s]
  W1[57]=432: 0 local colls, 22 total [3155s]
  W1[57]=433: 1 local colls, 23 total [3160s]
  W1[57]=438: 0 local colls, 31 total [3169s]
  W1[57]=437: 0 local colls, 22 total [3178s]
  W1[57]=439: 1 local colls, 25 total [3181s]
  W1[57]=440: 1 local colls, 21 total [3182s]
  W1[57]=436: 1 local colls, 31 total [3187s]
  W1[57]=443: 0 local colls, 25 total [3195s]
  W1[57]=441: 2 local colls, 30 total [3196s]
  W1[57]=442: 1 local colls, 25 total [3199s]
  W1[57]=446: 0 local colls, 28 total [3207s]
  W1[57]=444: 1 local colls, 21 total [3209s]
  W1[57]=445: 0 local colls, 20 total [3212s]
  W1[57]=448: 1 local colls, 29 total [3217s]
  W1[57]=447: 0 local colls, 37 total [3219s]
  W1[57]=449: 0 local colls, 34 total [3220s]
  W1[57]=450: 0 local colls, 22 total [3224s]
  W1[57]=451: 0 local colls, 23 total [3230s]
  W1[57]=452: 0 local colls, 31 total [3231s]
  W1[57]=455: 3 local colls, 24 total [3245s]
  W1[57]=453: 0 local colls, 22 total [3249s]
  W1[57]=454: 1 local colls, 26 total [3251s]
  W1[57]=456: 1 local colls, 32 total [3259s]
  W1[57]=457: 2 local colls, 27 total [3264s]
  W1[57]=459: 1 local colls, 26 total [3267s]
  W1[57]=458: 0 local colls, 30 total [3271s]
  W1[57]=460: 0 local colls, 28 total [3274s]
  W1[57]=461: 2 local colls, 23 total [3278s]
  W1[57]=462: 1 local colls, 21 total [3281s]
  W1[57]=465: 0 local colls, 34 total [3288s]
  W1[57]=466: 1 local colls, 23 total [3289s]
  W1[57]=464: 0 local colls, 37 total [3290s]
  W1[57]=463: 2 local colls, 31 total [3293s]
  W1[57]=467: 0 local colls, 23 total [3302s]
  W1[57]=468: 3 local colls, 34 total [3304s]
  W1[57]=470: 0 local colls, 22 total [3311s]
  W1[57]=469: 0 local colls, 24 total [3317s]
  W1[57]=471: 3 local colls, 29 total [3319s]
  W1[57]=472: 0 local colls, 32 total [3333s]
  W1[57]=473: 1 local colls, 28 total [3335s]
  W1[57]=474: 2 local colls, 28 total [3337s]
  W1[57]=475: 0 local colls, 30 total [3338s]
  W1[57]=480: 2 local colls, 25 total [3349s]
  W1[57]=476: 1 local colls, 29 total [3350s]
  W1[57]=478: 2 local colls, 23 total [3351s]
  W1[57]=477: 0 local colls, 23 total [3354s]
  W1[57]=479: 3 local colls, 37 total [3359s]
  W1[57]=481: 0 local colls, 37 total [3362s]
  W1[57]=482: 3 local colls, 34 total [3362s]
  W1[57]=483: 0 local colls, 23 total [3372s]
  W1[57]=485: 1 local colls, 23 total [3376s]
  W1[57]=484: 0 local colls, 34 total [3378s]
  W1[57]=487: 0 local colls, 29 total [3382s]
  W1[57]=486: 0 local colls, 24 total [3389s]
  W1[57]=489: 0 local colls, 28 total [3402s]
  W1[57]=491: 1 local colls, 31 total [3404s]
  W1[57]=488: 0 local colls, 32 total [3409s]
  W1[57]=490: 0 local colls, 28 total [3413s]
  W1[57]=493: 1 local colls, 30 total [3416s]
  W1[57]=492: 1 local colls, 26 total [3418s]
  W1[57]=494: 0 local colls, 23 total [3423s]
  W1[57]=495: 0 local colls, 23 total [3426s]
  W1[57]=497: 1 local colls, 38 total [3427s]
  W1[57]=496: 1 local colls, 38 total [3429s]
  W1[57]=498: 0 local colls, 34 total [3433s]
  W1[57]=499: 2 local colls, 25 total [3437s]
  W1[57]=502: 0 local colls, 29 total [3445s]
  W1[57]=500: 0 local colls, 23 total [3446s]
  W1[57]=501: 1 local colls, 35 total [3454s]
  W1[57]=503: 1 local colls, 25 total [3465s]
  W1[57]=504: 0 local colls, 28 total [3467s]
  W1[57]=505: 2 local colls, 33 total [3469s]
  W1[57]=507: 0 local colls, 28 total [3480s]
  W1[57]=512: 0 local colls, 38 total [3481s]
  W1[57]=506: 1 local colls, 33 total [3483s]
  W1[57]=509: 2 local colls, 28 total [3484s]
  W1[57]=508: 3 local colls, 33 total [3491s]
  W1[57]=511: 0 local colls, 23 total [3492s]
  W1[57]=510: 1 local colls, 24 total [3495s]
  W1[57]=514: 1 local colls, 35 total [3496s]
  W1[57]=513: 1 local colls, 39 total [3499s]
  W1[57]=515: 1 local colls, 26 total [3509s]
  W1[57]=516: 1 local colls, 30 total [3515s]
  W1[57]=517: 1 local colls, 24 total [3519s]
  W1[57]=518: 1 local colls, 36 total [3530s]
  W1[57]=519: 0 local colls, 25 total [3532s]
  W1[57]=522: 0 local colls, 28 total [3542s]
  W1[57]=523: 0 local colls, 38 total [3543s]
  W1[57]=520: 0 local colls, 28 total [3546s]
  W1[57]=521: 0 local colls, 33 total [3550s]
  W1[57]=525: 0 local colls, 28 total [3552s]
  W1[57]=524: 0 local colls, 33 total [3554s]
  W1[57]=527: 1 local colls, 24 total [3558s]
  W1[57]=529: 0 local colls, 35 total [3559s]
  W1[57]=528: 1 local colls, 25 total [3560s]
  W1[57]=530: 0 local colls, 39 total [3568s]
  W1[57]=526: 0 local colls, 33 total [3570s]
  W1[57]=531: 1 local colls, 27 total [3575s]
